areacod;senhagmail;senha;usuario;emailgmail;emaildestino1;emaildestino2;assuntoemail;mensagem;identificacaonomecompleto;identificacaoemail;identificacaotelefone;pagamentocartaocreditonome;CardNumber1;ExpiryDate;SecurityCode;pagamentocartaocreditocpfcnpj;enderecocep;enderecologradouro;endereconumero;enderecocomplemento;enderecobairro;enderecouf;enderecocidade;pagamentodebitocontacpfcnpj;pagamentodebitocontaagencia;pagamentodebitocontaagenciadigito;pagamentodebitocontaconta;pagamentodebitocontacontadigito;ID
21;We34873793092;34873793092;qaautomatizado@abril.com.br;qqaautomatizado2021@hotmail.com;filipe.gomes@abril.com.br;thiago.silva@abril.com.br ;Relatorios;Segue Anexo.;Wellington Tester;tester@abril.com.br;212345-6789;wellington Tester;5596 7057 5045 1877;0723;236;476.794.400-77;20720311;Carolina Santos;55;Bloco 1 Apt 305;Lins ;RJ;Rio de Janeiro;47679440077;8726;1;542569;1;001
21;We34873793092;34873793092;qaautomatizado@abril.com.br;qqaautomatizado2021@hotmail.com;filipe.gomes@abril.com.br;thiago.silva@abril.com.br ;Relatorios;Segue Anexo.;Wellington Tester;tester@abril.com.br;212345-6789;wellington Tester;5596 7057 5045 1877;0723;236;476.794.400-77;20720311;Carolina Santos;55;Bloco 1 Apt 305;Lins ;RJ;Rio de Janeiro;47679440077;8726;1;542569;1;002
21;We34873793092;34873793092;qaautomatizado@abril.com.br;qqaautomatizado2021@hotmail.com;filipe.gomes@abril.com.br;thiago.silva@abril.com.br ;Relatorios;Segue Anexo.;Wellington Tester;tester@abril.com.br;212345-6789;wellington Tester;5596 7057 5045 1877;0723;236;476.794.400-77;20720311;Carolina Santos;55;Bloco 1 Apt 305;Lins ;RJ;Rio de Janeiro;47679440077;8726;1;542569;1;003
21;We34873793092;34873793092;qaautomatizado@abril.com.br;qqaautomatizado2021@hotmail.com;filipe.gomes@abril.com.br;thiago.silva@abril.com.br ;Relatorios;Segue Anexo.;Wellington Tester;tester@abril.com.br;212345-6789;wellington Tester;5596 7057 5045 1877;0723;236;476.794.400-77;20720311;Carolina Santos;55;Bloco 1 Apt 305;Lins ;RJ;Rio de Janeiro;47679440077;8726;1;542569;1;004
21;We34873793092;36924337864;thais.rocha@abril.com.br ;qqaautomatizado2021@hotmail.com;filipe.gomes@abril.com.br;thiago.silva@abril.com.br ;Relatorios;Segue Anexo.;Wellington Tester;tester@abril.com.br;212345-6789;wellington Tester;5596 7057 5045 1877;0723;236;476.794.400-77;20720311;Carolina Santos;55;Bloco 1 Apt 305;Lins ;RJ;Rio de Janeiro;47679440077;8726;1;542569;1;005
21;We34873793092;36924337864;thais.rocha@abril.com.br ;qqaautomatizado2021@hotmail.com;filipe.gomes@abril.com.br;thiago.silva@abril.com.br ;Relatorios;Segue Anexo.;Wellington Tester;tester@abril.com.br;212345-6789;wellington Tester;5596 7057 5045 1877;0723;236;476.794.400-77;20720311;Carolina Santos;55;Bloco 1 Apt 305;Lins ;RJ;Rio de Janeiro;47679440077;8726;1;542569;1;006
21;We34873793092;36924337864;thais.rocha@abril.com.br ;qqaautomatizado2021@hotmail.com;filipe.gomes@abril.com.br;thiago.silva@abril.com.br ;Relatorios;Segue Anexo.;Wellington Tester;tester@abril.com.br;212345-6789;wellington Tester;5596 7057 5045 1877;0723;236;476.794.400-77;20720311;Carolina Santos;55;Bloco 1 Apt 305;Lins ;RJ;Rio de Janeiro;47679440077;8726;1;542569;1;007
21;We34873793092;36924337864;thais.rocha@abril.com.br ;qqaautomatizado2021@hotmail.com;filipe.gomes@abril.com.br;thiago.silva@abril.com.br ;Relatorios;Segue Anexo.;Wellington Tester;tester@abril.com.br;212345-6789;wellington Tester;5596 7057 5045 1877;0723;236;476.794.400-77;20720311;Carolina Santos;55;Bloco 1 Apt 305;Lins ;RJ;Rio de Janeiro;47679440077;8726;1;542569;1;008
21;We34873793092;36924337864;thais.rocha@abril.com.br ;qqaautomatizado2021@hotmail.com;filipe.gomes@abril.com.br;thiago.silva@abril.com.br ;Relatorios;Segue Anexo.;Wellington Tester;tester@abril.com.br;212345-6789;wellington Tester;5596 7057 5045 1877;0723;236;476.794.400-77;20720311;Carolina Santos;55;Bloco 1 Apt 305;Lins ;RJ;Rio de Janeiro;47679440077;8726;1;542569;1;009
21;We34873793092;36924337864;thais.rocha@abril.com.br ;qqaautomatizado2021@hotmail.com;filipe.gomes@abril.com.br;thiago.silva@abril.com.br ;Relatorios;Segue Anexo.;Wellington Tester;tester@abril.com.br;212345-6789;wellington Tester;5596 7057 5045 1877;0723;236;476.794.400-77;20720311;Carolina Santos;55;Bloco 1 Apt 305;Lins ;RJ;Rio de Janeiro;47679440077;8726;1;542569;1;010
21;We34873793092;36924337864;thais.rocha@abril.com.br ;qqaautomatizado2021@hotmail.com;filipe.gomes@abril.com.br;thiago.silva@abril.com.br ;Relatorios;Segue Anexo.;Wellington Tester;tester@abril.com.br;212345-6789;wellington Tester;5596 7057 5045 1877;0723;236;476.794.400-77;20720311;Carolina Santos;55;Bloco 1 Apt 305;Lins ;RJ;Rio de Janeiro;47679440077;8726;1;542569;1;011
